DB Entrez Gene IDA	DB CCSB ORF ID	DB Accession	AD Entrez Gene ID	AD CCSB ORF ID	AD Accession	Trial
157773	2211	BC031245.1	4188	5143	BC007836.2	3
129807	8723	BC012899.1	4188	5143	BC007836.2	3
79666	6953	BC011806.2	51562	5480	BC005197.1	3
1468	5418	BC007355.2	4188	5143	BC007836.2	3
114823	9518	BC028048.1	63948	2266	BC029566.1	3
10445	6901	BC011794.2	51019	6319	BC010889.1	3
578	3801	BC004431.1	598	5989	BC019307.1	3
2242	9223	BC035357.1	4188	5143	BC007836.2	3
63898	6155	BC014525.2	28988	9440	BC031687.1	3
55049	7266	BC012078.1	4188	5143	BC007836.2	3
140462	2763	BC001244.1	55662	4949	BC007719.2	3
221458	1699	BC022074.2	10513	820	BC018121.1	3
11201	10037	BC032662.1	9802	3598	BC002334.2	3
84528	2032	BC021719.2	9802	3598	BC002334.2	3
10492	10066	BC032643.1	56341	1137	BC022458.1	3
79873	2532	BC016902.1	6895	4636	BC005860.2	3
65265	6838	BC010001.2	4188	5143	BC007836.2	3
140462	2763	BC001244.1	1152	3341	BC010002.2	3
9491	9264	BC029836.1	23641	3434	BC003104.1	3
55093	4786	BC008781.2	10567	4757	BC008950.2	3
5515	4071	BC002657.2	9319	4664	BC000404.2	3
5682	442	BC015356.1	25788	9795	BC033710.2	3
7965	343	BC013630.1	79173	2678	BC012945.1	3
414157	9426	BC037252.1	4188	5143	BC007836.2	3
84528	2032	BC021719.2	9319	4664	BC000404.2	3
26505	1454	BC037272.1	4188	5143	BC007836.2	3
3219	6243	BC015565.1	4188	5143	BC007836.2	3
132158	814	BC021896.1	9319	4664	BC000404.2	3
60491	4562	BC007654.2	4830	3125	BC000293.2	3
7695	5106	BC006421.1	4188	5143	BC007836.2	3
83593	4242	BC004270.1	10513	820	BC018121.1	3
9587	4424	BC002904.2	9319	4664	BC000404.2	3
90355	6586	BC009203.2	4188	5143	BC007836.2	3
9513	989	BC020090.1	51562	5480	BC005197.1	3
9491	9264	BC029836.1	23543	986	BC013115.1	3
125170	7599	BC014973.1	10567	4757	BC008950.2	3
54472	3374	BC004420.1	9802	3598	BC002334.2	3
79873	2532	BC016902.1	51074	5696	BC008440.1	3
60491	4562	BC007654.2	51074	5696	BC008440.1	3
665	2427	BC001559.1	664	7547	BC021989.1	3
51160	4587	BC006485.1	7251	3267	BC002487.1	3
1295	3053	BC013581.1	54507	9414	BC027478.1	3
116071	7211	BC012330.1	9802	3598	BC002334.2	3
8576	7944	BC002618.2	54507	9414	BC027478.1	3
23199	9694	BC037556.1	55758	9304	BC031608.1	3
117177	472	BC015548.1	5866	2590	BC022239.1	3
60491	4562	BC007654.2	25788	9795	BC033710.2	3
4701	3702	BC003102.1	4188	5143	BC007836.2	3
358	1231	BC022486.1	54507	9414	BC027478.1	3
79797	252	BC015708.2	4188	5143	BC007836.2	3
5708	3990	BC002368.2	5700	4018	BC000512.2	3
55209	524	BC020956.1	23641	3434	BC003104.1	3
55166	192	BC016279.1	79173	2678	BC012945.1	3
60491	4562	BC007654.2	9319	4664	BC000404.2	3
5682	442	BC015356.1	23641	3434	BC003104.1	3
84733	4279	BC004252.1	4188	5143	BC007836.2	3
27229	5836	BC012801.2	113675	6677	BC009849.2	3
9726	9991	BC035589.1	4188	5143	BC007836.2	3
25788	9795	BC033710.2	25788	9795	BC033710.2	3
9513	989	BC020090.1	4830	3125	BC000293.2	3
79666	6953	BC011806.2	222389	9342	BC031618.1	3
3205	5870	BC006537.2	7205	4104	BC002680.2	3
286514	2123	BC029525.1	2553	2126	BC036080.1	3
9518	4698	BC000529.2	4188	5143	BC007836.2	3
27229	5836	BC012801.2	5987	152	BC013580.1	3
55093	4786	BC008781.2	5805	145	BC009686.1	3
23564	7456	BC001435.2	9319	4664	BC000404.2	3
2947	4789	BC008790.2	2947	3605	BC000088.2	3
149371	10122	BC035763.1	80258	2098	BC031039.1	3
23551	6053	BC013419.2	10567	4757	BC008950.2	3
6231	7735	BC002604.1	90121	7020	BC011825.1	3
9513	989	BC020090.1	373	1227	BC022510.1	3
4292	2713	BC006850.1	9877	6160	BC014268.2	3
57325	5281	BC007537.1	51562	5480	BC005197.1	3
23578	6457	BC012561.1	9802	3598	BC002334.2	3
1312	4708	BC000419.2	9319	4664	BC000404.2	3
10617	4785	BC007682.1	10254	1863	BC028740.2	3
362	2030	BC032946.1	4188	5143	BC007836.2	3
11067	2951	BC011402.1	373	1227	BC022510.1	3
9513	989	BC020090.1	10567	4757	BC008950.2	3
2815	8401	BC030229.1	10513	820	BC018121.1	3
7376	5125	BC007790.1	4188	5143	BC007836.2	3
3987	5515	BC005341.1	51562	5480	BC005197.1	3
5682	442	BC015356.1	51171	4841	BC006294.1	3
5682	442	BC015356.1	373	1227	BC022510.1	3
27258	5664	BC007055.1	84967	5292	BC007623.1	3
51074	3056	BC009077.1	51074	5696	BC008440.1	3
57097	2185	BC031073.1	9319	4664	BC000404.2	3
115761	877	BC013150.1	9319	4664	BC000404.2	3
56341	1137	BC022458.1	56341	1137	BC022458.1	3
60491	4562	BC007654.2	10606	2375	BC010273.1	3
149371	10122	BC035763.1	5866	2590	BC022239.1	3
79873	2532	BC016902.1	25788	9795	BC033710.2	3
9098	2095	BC029495.1	4188	5143	BC007836.2	3
27229	5836	BC012801.2	8216	2594	BC026214.1	3
9491	9264	BC029836.1	57144	1317	BC024179.1	3
8500	1152	BC034046.1	51562	5480	BC005197.1	3
115572	6636	BC012790.2	9802	3598	BC002334.2	3
10445	6901	BC011794.2	79571	7306	BC014100.2	3
56000	9232	BC031616.1	29107	936	BC003410.1	3
8862	7865	BC021104.1	4188	5143	BC007836.2	3
149371	10122	BC035763.1	51562	7531	BC016821.1	3
358	1231	BC022486.1	4188	5143	BC007836.2	3
7075	10190	BC038239.1	4188	5143	BC007836.2	3
3603	8787	BC040272.1	63948	2266	BC029566.1	3
7408	9628	BC038224.1	6303	5768	BC008424.1	4
63898	6155	BC014525.2	28988	9440	BC031687.1	4
8576	7944	BC002618.2	54507	9414	BC027478.1	4
23564	7456	BC001435.2	9319	4664	BC000404.2	4
414157	9426	BC037252.1	4188	5143	BC007836.2	4
6924	4407	BC002883.2	25788	9795	BC033710.2	4
60491	4562	BC007654.2	1725	7029	BC014016.2	4
60491	4562	BC007654.2	10606	2375	BC010273.1	4
3603	8787	BC040272.1	63948	2266	BC029566.1	4
140462	2763	BC001244.1	55662	4949	BC007719.2	4
79666	6953	BC011806.2	26060	1919	BC028599.2	4
79594	6868	BC010101.2	10513	820	BC018121.1	4
7965	343	BC013630.1	79173	2678	BC012945.1	4
5682	442	BC015356.1	373	1227	BC022510.1	4
8907	206	BC017469.2	23641	3434	BC003104.1	4
84528	2032	BC021719.2	9319	4664	BC000404.2	4
149371	10122	BC035763.1	51562	7531	BC016821.1	4
55049	7266	BC012078.1	4188	5143	BC007836.2	4
9491	9264	BC029836.1	57144	1317	BC024179.1	4
130540	9241	BC031603.1	6820	2613	BC034694.1	4
93474	5629	BC005360.1	4188	5143	BC007836.2	4
6231	7735	BC002604.1	90121	7020	BC011825.1	4
79797	252	BC015708.2	80321	1596	BC030598.2	4
665	2427	BC001559.1	664	7547	BC021989.1	4
10459	811	BC015244.1	9319	4664	BC000404.2	4
60491	4562	BC007654.2	63948	2266	BC029566.1	4
60491	4562	BC007654.2	9319	4664	BC000404.2	4
25788	9795	BC033710.2	25788	9795	BC033710.2	4
65999	7979	BC001354.1	9319	4664	BC000404.2	4
56000	9232	BC031616.1	29107	936	BC003410.1	4
1535	9595	BC028224.1	4188	5143	BC007836.2	4
79873	2532	BC016902.1	26151	4030	BC004225.2	4
54472	381	BC018272.1	9802	3598	BC002334.2	4
10492	10066	BC032643.1	56341	1137	BC022458.1	4
9513	989	BC020090.1	10567	4757	BC008950.2	4
79666	6953	BC011806.2	23641	3434	BC003104.1	4
117177	472	BC015548.1	5866	2590	BC022239.1	4
