gene_0	gene_1	sources	unbiased
25	56995	3	0
25	57142	3	0
25	57190	3	0
25	57506	3	0
25	57716	3	0
25	58512	3	0
25	60385	3	0
25	64111	3	0
25	64714	3	0
25	64780	1	0
25	65268	2	0
25	79723	3	0
25	79890	3	0
25	79930	2	0
25	80831	3	0
25	80852	2	0
25	81857	3	0
25	81928	2	0
25	83541	3	0
25	83660	3	0
25	83747	1	0
25	84287	3	0
25	85358	2	0
25	90990	3	0
25	91179	3	0
25	91746	2	0
25	91768	2	0
25	92591	3	0
25	114784	3	0
25	114879	3	0
25	126669	2	0
25	127933	3	0
25	128853	1	0
25	142685	1	0
25	170825	2	0
25	284086	3	0
25	344148	3	0
26	1610	2	0
26	1785	2	0
26	2245	2	0
26	220002	2	1
27	604	1	0
27	613	2	0
27	847	2	0
27	1398	4	0
27	1956	3	0
27	2017	1	0
27	2048	2	0
27	2064	3	0
27	2065	3	0
27	2066	3	0
27	2534	3	0
27	2876	2	0
27	2885	3	0
27	3055	2	0
27	3265	1	0
27	3716	1	0
27	4294	2	0
27	4690	3	0
27	5295	3	0
27	5335	4	0
27	6714	3	0
27	7164	1	0
27	8470	3	0
27	9322	1	0
27	9610	2	0
27	10006	2	0
27	10572	2	0
27	11339	1	0
27	80306	4	0
27	84419	1	0
28	65983	2	1
28	84283	2	1
29	148	3	0
29	55914	1	0
30	1432	1	0
30	2099	1	0
30	7316	1	0
30	8520	1	0
30	51061	1	0
31	408	2	0
31	672	3	0
31	1114	3	0
31	1315	1	0
31	1457	2	0
31	1459	2	0
31	3611	1	0
31	4163	1	0
31	5562	2	0
31	5563	2	0
31	6310	3	0
31	7316	1	0
31	7415	1	0
31	8518	1	0
31	9391	1	0
31	23411	2	0
31	51547	1	0
31	57016	2	0
32	3141	3	0
32	5563	2	0
32	7316	1	0
33	7316	1	0
34	34	3	0
34	801	1	0
34	805	1	0
34	808	1	0
34	7316	1	0
34	8452	1	0
34	10537	1	0
34	10868	1	0
34	11171	1	0
34	373509	1	0
34	387082	2	0
35	3665	1	0
36	7316	1	0
36	10537	1	0
36	10869	1	0
37	37	1	0
37	213	1	0
37	999	2	0
37	1386	1	0
37	3396	1	0
37	3921	1	0
37	5036	1	0
37	7316	1	0
37	8562	1	0
37	9021	2	0
37	9775	1	0
37	10243	1	0
37	10988	1	0
37	29904	1	0
38	189	1	0
38	2688	1	0
38	3106	1	0
38	3107	1	0
38	3676	1	0
38	4163	1	0
38	4350	1	0
38	5191	1	0
38	5885	1	0
38	7316	1	0
38	7341	1	0
38	7412	1	0
38	8452	1	0
38	8454	1	0
38	10014	1	0
38	10289	2	0
38	10987	1	0
38	23043	1	0
38	26270	1	0
38	51547	1	0
38	65125	1	0
39	39	3	1
39	1045	2	0
39	1457	2	0
39	2778	1	0
39	3106	1	0
39	3725	1	0
39	4163	1	0
39	5564	2	0
39	7013	1	0
39	7189	2	0
39	7316	1	0
39	7416	1	0
39	8900	1	0
39	9474	1	0
39	10289	2	0
39	23043	1	0
39	24140	1	0
39	84708	2	1
40	41	2	0
40	2040	2	0
40	9311	2	0
40	9399	1	0
40	9463	4	0
41	41	1	0
41	2040	2	0
41	4287	1	0
41	5566	2	0
41	9399	1	0
41	9463	4	0
43	43	1	0
43	351	2	0
43	1282	1	0
43	1939	1	0
43	2023	3	0
43	3725	1	0
43	3912	1	0
43	8292	4	0
43	9421	1	0
43	10399	3	0
43	11016	1	0
43	145270	1	0
43	284217	1	0
47	47	1	0
47	351	1	0
47	382	1	0
47	1029	1	0
47	1991	1	0
47	2099	1	0
47	2932	1	0
47	3840	1	0
47	4831	1	0
47	5537	1	0
47	5564	2	0
47	5566	2	0
47	7014	1	0
47	7030	1	0
47	7316	1	0
47	7428	2	0
47	8412	1	0
47	8452	1	0
47	8453	1	0
47	8793	1	0
47	8900	1	0
47	9146	2	0
47	9636	1	0
47	9641	2	0
47	9768	1	0
47	10014	1	0
47	10537	1	0
47	51547	1	0
47	55832	1	0
47	654364	1	0
48	351	1	0
48	1213	1	0
48	4604	1	0
48	4703	1	0
48	5829	1	0
48	6445	1	0
48	7316	1	0
48	26112	1	0
48	26234	1	0
49	5104	2	0
49	7158	2	0
49	7783	2	0
49	7784	2	0
50	351	1	0
50	2099	1	0
50	3676	1	0
50	4292	2	0
50	5879	1	0
50	7316	1	0
50	7412	1	0
50	65125	1	0
50	342371	1	0
50	387082	2	0
51	5830	1	0
51	6342	2	0
51	6517	2	0
51	7316	1	0
51	219743	1	0
52	52	1	0
52	1499	2	0
52	1969	2	0
52	2035	1	0
52	2047	3	0
52	2048	2	0
52	2167	2	0
52	2534	1	0
52	2908	2	0
52	3643	2	0
52	3692	1	0
52	3791	2	0
52	3932	2	0
52	5062	1	0
52	6709	1	0
52	7428	2	0
52	7535	2	0
52	9641	2	0
52	10289	2	0
52	23043	1	0
52	51460	4	1
52	54874	3	0
52	55052	3	0
53	7316	1	0
54	1959	3	0
54	2239	2	0
54	5516	1	0
54	5601	3	0
54	6118	3	0
54	6696	1	0
54	7316	1	0
54	7704	3	0
54	8743	3	0
54	9141	3	0
54	9410	3	0
54	54978	3	0
55	55	2	0
55	2064	1	0
55	3507	1	0
55	6462	2	0
55	7316	1	0
58	58	1	0
58	159	2	0
58	199	2	0
58	408	2	0
58	881	2	0
58	1000	2	0
58	1017	1	0
58	1072	3	0
58	1264	2	0
58	1452	1	0
58	1500	2	0
58	1660	1	0
58	1739	2	0
58	1756	2	0
58	1773	2	0
58	1837	2	0
58	1855	1	0
58	1956	2	0
58	2017	2	0
58	2035	2	0
58	2037	2	0
58	2059	2	0
58	2099	1	0
58	2120	1	0
58	2620	2	0
58	2638	4	0
58	2885	1	0
58	2934	4	0
58	3059	2	0
58	3673	2	0
58	3706	2	0
58	3708	1	0
58	3927	2	0
58	4130	2	0
58	4306	2	0
58	4632	2	0
58	4638	1	0
58	4646	2	0
58	4647	2	0
58	4650	2	0
58	4651	2	0
58	4892	1	0
58	4950	1	0
58	5058	2	0
58	5201	2	0
58	5216	1	0
58	5337	2	0
58	5350	1	0
58	5499	1	0
58	5578	2	0
58	5580	1	0
58	5581	2	0
58	5770	3	0
58	5879	2	0
58	6198	2	0
58	6271	2	0
58	6275	2	0
58	6525	2	0
58	6622	1	0
58	6624	2	0
58	6698	2	0
58	6708	2	0
58	6709	1	0
58	6712	2	0
58	6714	2	0
58	6876	2	0
58	7082	2	0
58	7094	1	0
58	7114	2	0
58	7135	2	0
58	7137	2	0
58	7157	2	0
58	7168	1	0
58	7169	1	0
58	7170	2	0
58	7187	1	0
58	7205	1	0
58	7248	1	0
58	7273	2	0
58	7316	1	0
58	7402	2	0
58	7408	1	0
58	7409	2	0
58	7414	2	0
58	7429	2	0
58	7431	1	0
58	7564	1	0
58	8215	1	0
58	8266	1	0
58	8454	1	0
58	8522	2	0
58	8790	1	0
58	8826	2	0
58	9026	2	0
58	9087	2	0
58	9267	2	0
58	9468	2	0
58	9493	2	0
58	9562	2	0
58	9636	1	0
58	9712	2	0
58	9759	2	0
58	9768	1	0
58	10120	2	0
58	10297	1	0
58	10391	2	0
58	10575	2	0
58	10576	1	0
58	10580	2	0
58	22948	2	0
58	23191	2	0
58	23214	1	0
58	23268	2	0
58	23406	2	0
58	23499	2	0
58	26001	1	0
58	26136	1	0
58	27252	2	0
58	27429	1	0
58	29109	2	0
58	29761	2	0
58	51086	2	0
58	53405	2	0
58	55742	1	0
58	55860	2	0
58	55869	1	0
58	56259	1	0
58	57787	1	0
58	60312	2	0
58	64750	3	0
58	79083	1	0
58	84676	4	0
58	84687	2	0
58	84962	2	0
58	85477	1	0
58	91624	2	0
58	121512	2	0
58	137735	1	0
58	142678	3	0
58	165904	2	0
58	221692	2	0
58	100506658	1	0
59	88	1	0
59	1072	2	0
59	1387	1	0
59	1773	2	0
59	2033	2	0
59	2638	1	0
59	3725	1	0
59	4632	2	0
59	4653	2	0
59	5580	1	0
59	6462	2	0
59	6640	2	0
59	7114	2	0
59	7248	3	0
59	7273	1	0
59	7316	1	0
59	8266	1	0
59	8452	1	0
59	8453	1	0
59	8454	1	0
59	9468	2	0
59	9768	1	0
59	10575	2	0
59	10987	1	0
59	22948	2	0
59	50488	2	0
59	55832	1	0
60	60	5	1
60	70	2	0
60	71	6	1
60	86	1	0
60	88	1	0
60	240	2	0
60	301	1	0
60	302	1	0
60	309	1	0
60	310	1	0
60	351	2	0
60	367	2	0
60	408	1	0
60	409	2	0
60	498	1	0
60	582	3	0
60	585	3	0
60	598	1	0
60	829	1	0
60	908	1	0
60	920	1	0
60	1017	1	0
60	1026	1	0
60	1029	1	0
60	1072	5	1
60	1073	6	1
60	1104	1	0
60	1207	2	0
60	1265	2	0
60	1452	2	0
60	1460	1	0
60	1490	2	0
60	1536	1	0
60	1654	1	0
60	1655	1	0
60	1660	1	0
60	1759	1	0
60	1773	2	0
60	1837	1	0
60	1915	2	0
60	1933	1	0
60	1962	2	1
60	1974	1	0
60	1994	1	0
60	2010	2	0
60	2023	1	0
60	2033	1	0
60	2035	1	0
60	2037	1	0
60	2039	2	0
60	2064	1	0
60	2091	1	0
60	2099	1	0
60	2167	1	0
60	2275	2	0
60	2314	2	0
60	2597	2	0
60	2768	2	0
60	2771	1	0
60	2934	2	0
60	3014	1	0
60	3055	2	0
60	3161	1	0
60	3178	1	0
60	3181	1	0
60	3182	2	0
60	3184	1	0
60	3187	1	0
60	3192	2	0
60	3295	2	0
60	3312	2	0
60	3320	1	0
60	3326	1	0
60	3329	1	0
60	3646	1	0
60	3676	1	0
60	3837	1	0
60	3842	1	0
60	3921	1	0
60	3927	2	0
